gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Spearman_corr,Spearman_p,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p,DE_Prior_Rank,brain_region,region_location,slim_region_location,Updated_Gene_Names,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
ZNF184,3.34e-08,zinc finger protein 184,+--,+-+---,----,0.981604923847043,0.0181236145897788,-,0.0362,0.0264168379373406,0.0357,0.56,9.75,1,0.368,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,ZNF184,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
BEND4,1.3e-07,BEN domain containing 4,+-+,------,Not_Available,0.670127467352659,0.0219614587845352,-,0.0439,0.003839183,0.0357,0.56,11.8,1,0.855,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,BEND4,Cholinergic and monoaminergic neurons,4.22990046520913,Cholinergic and monoaminergic neurons,3.2158369602427
HLA-DQB1,2.33e-07,"major histocompatibility complex, class II, DQ beta 1",-+-,------,Not_Available,0.99243988682612,0.0224499660125882,-,0.0449,0.075130763,0.0357,0.56,12.1,1,0.989,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,HLA-DQB1,Oligodendrocytes,5.07595686578728,Oligodendrocytes,5.45495155214386
HIST1H2BO,9.65e-08,histone cluster 1 H2B family member o,-+-,Not_Available,Filtered_Out,0.546258270590919,0.0232717316906229,-,0.0465,0.00896995424498176,0.0357,0.56,12.5,1,0.528,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,HIST1H2BO,Ependymal cells,4.29415142421203,Ependymal cells,4.47946094136428
ZNF501,5.35e-07,zinc finger protein 501,---,+---++,Filtered_Out,0.953779042397966,0.0239022305470326,-,0.0478,0.064347101,0.0357,0.56,12.9,1,0.179,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ZNF501,Not_Available,Not_Available,Not_Available,Not_Available
ZC3H7B,2.91e-08,zinc finger CCCH-type containing 7B,+++,++++-+,++--,0.0257407275714564,0.95022775424163,+,0.0515,0.002809492,0.0357,0.56,13.8,1,0.183,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,ZC3H7B,Cholinergic and monoaminergic neurons,3.77444321120833,Sympathetic cholinergic neurons,2.36603288386083
ZKSCAN8,2.01e-13,zinc finger with KRAB and SCAN domains 8,--+,-----+,Filtered_Out,0.988992267419167,0.0263579913499344,-,0.0527,0.037615917,0.0357,0.56,14.2,1,0.45,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,ZKSCAN8,Hindbrain neurons,4.01943544922757,Hindbrain neurons,4.10962598131774
MGAT4C,1.22e-06,MGAT4 family member C,+-+,------,--++,0.820312114443087,0.0272755261829856,-,0.0546,0.002131326,0.0357,0.56,14.7,1,0.272,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,dorsal motor nucleus of the vagus <  myelencephalon  < gray matter,MGAT4C,Cholinergic and monoaminergic neurons,4.24420568019863,Cholinergic and monoaminergic neurons,3.66053389443231
TMEM106B,1.22e-12,transmembrane protein 106B,--+,------,+-++,0.27153228323087,0.0326712628825138,-,0.0653,0.000216239,0.0357,0.56,17.6,1,0.857,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,TMEM106B,Cholinergic and monoaminergic neurons,3.25405600017945,Cholinergic and monoaminergic neurons,3.26841697346521
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",++-,++++++,+-+-,0.0352273729024285,0.987868069867401,+,0.0705,0.0332924640078746,0.0357,0.56,19,1,0.771,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,HLA-B,Not_Available,Not_Available,Not_Available,Not_Available
HIST1H3I,6.38e-10,histone cluster 1 H3 family member i,+++,Not_Available,Filtered_Out,0.0382158339037189,0.974503764544832,+,0.0764,0.0581787480716537,0.0357,0.56,20.6,1,0.451,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,HIST1H3I,Satellite glia,3.0188723698569,Satellite glia,3.24844635290804
ZDHHC21,7.5e-09,zinc finger DHHC-type containing 21,+-+,------,++--,0.597567834619111,0.0383891041535466,-,0.0768,0.014756273,0.0357,0.56,20.7,1,0.752,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,ZDHHC21,Hindbrain neurons,3.49567526804951,Peripheral sensory neurofilament neurons,2.82392946322424
BTN1A1,7.4e-09,butyrophilin subfamily 1 member A1,--+,Not_Available,Filtered_Out,0.451403148528405,0.0384439881359799,-,0.0769,0.02921859910418,0.0357,0.56,20.7,1,0.0995,CA2 field,CA2 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA2 field <  hippocampal formation  < limbic lobe,BTN1A1,Di- and mesencephalon inhibitory neurons,3.97528722444647,Di- and mesencephalon inhibitory neurons,4.33940339359627
LST1,5.42e-09,leukocyte specific transcript 1,-+-,++++++,-+++,0.0423738747430507,0.882076382919508,+,0.0847,0.0274394124879291,0.0357,0.56,22.8,1,0.765,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,LST1,Not_Available,Not_Available,Not_Available,Not_Available
HARS,2.1e-07,histidyl-tRNA synthetase,+--,++++++,-++-,0.0423929733569033,0.459112601472385,+,0.0848,0.005687828,0.0357,0.56,22.8,1,0.113,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,HARS,Cholinergic and monoaminergic neurons,3.1938081342907,Sympathetic noradrenergic neurons,3.50987465853632
FADS1,1.25e-07,fatty acid desaturase 1,---,------,+-++,0.745010635921612,0.0442042148865337,-,0.0884,0.071401741,0.0357,0.56,23.8,1,0.866,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,FADS1,Satellite glia,3.13385409696618,Satellite glia,2.64161538223522
OLFM4,1.7e-12,olfactomedin 4,+++,+++-+-,Filtered_Out,0.0453795558040229,0.869059612880257,+,0.0908,0.0367839607755913,0.0357,0.56,24.4,1,0.99,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,OLFM4,Peptidergic neurons,4.1737192292522,Peptidergic neurons,4.56491232412
SEMA6D,4.1e-09,semaphorin 6D,+--,----++,-++-,0.672756932768241,0.0454964619294433,-,0.091,0.00427009,0.0357,0.56,24.5,1,0.981,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,SEMA6D,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
MANEA,1.88e-06,mannosidase endo-alpha,--+,------,+-++,0.815719675874332,0.0457916559212542,-,0.0916,0.002767965,0.0357,0.56,24.6,1,0.87,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,MANEA,Hindbrain neurons,3.67354498734173,Hindbrain neurons,3.83091357174874
SOX5,3.79e-09,SRY-box 5,--+,-----+,Filtered_Out,0.968307950568864,0.0463056002286505,-,0.0926,0.040092956,0.0357,0.56,24.9,1,0.654,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,SOX5,Telencephalon projecting excitatory neurons,3.00573519111546,Telencephalon projecting excitatory neurons,3.23285881562931
HIST1H1B,9.97e-14,histone cluster 1 H1 family member b,++-,Not_Available,Filtered_Out,0.411019849418207,0.0467716176135067,-,0.0935,0.0125517796133158,0.0357,0.56,25.2,1,0.491,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,HIST1H1B,Not_Available,Not_Available,Not_Available,Not_Available
TRAF3,3.17e-07,TNF receptor associated factor 3,+++,-++---,----,0.921038271852849,0.0468092422693625,-,0.0936,0.01238427,0.0357,0.56,25.2,1,0.428,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,TRAF3,Hindbrain neurons,3.26811898489611,Hindbrain neurons,2.9800683009023
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,++-,Not_Available,Filtered_Out,0.0487679671457906,0.84502623773671,+,0.0975,0.0367702805053664,0.0357,0.56,26.2,1,0.0751,hypoglossal nucleus,hypoglossal nucleus <  myelencephalon  < gray matter,hypoglossal nucleus <  myelencephalon  < gray matter,OR2B2,Hindbrain neurons,5.57048499058233,Hindbrain neurons,6.08486984459331
RFTN2,5.41e-07,raftlin family member 2,---,------,++++,0.344006252250852,0.0488067913798743,-,0.0976,0.039374167,0.0357,0.56,26.3,1,0.444,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,RFTN2,Enteric glia,3.07228894242944,Enteric glia,3.28226436108575
ZNF165,1.95e-12,zinc finger protein 165,+++,++++++,Filtered_Out,0.0493017875590451,0.99819511779976,+,0.0986,0.058737725,0.0357,0.56,26.5,1,0.958,dentate nucleus,dentate nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,dentate nucleus < cerebellar nuclei,ZNF165,Not_Available,Not_Available,Not_Available,Not_Available
PPP6C,1.1e-06,protein phosphatase 6 catalytic subunit,+-+,------,+--+,0.884916922227974,0.0529311988262089,-,0.106,0.005052903,0.0357,0.56,28.5,1,0.577,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,PPP6C,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
GPC5,1.35e-07,glypican 5,--+,-----+,+-++,0.925459643832644,0.056046890973502,-,0.112,0.026207921,0.0357,0.56,30.2,1,0.768,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,GPC5,Astrocytes,3.27197638308806,Peripheral sensory non-peptidergic neurons,4.29845432769986
SCYL1,6.11e-08,SCY1 like pseudokinase 1,++-,++++-+,--+-,0.0604445842589709,0.601626561153298,+,0.121,0.001734011,0.0357,0.56,32.5,1,0.207,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,SCYL1,Hindbrain neurons,3.09359475213099,Sympathetic cholinergic neurons,2.96996663171946
C16orf45,1.86e-09,BMERB Domain Containing 1,++-,++++--,+--+,0.0629682516010631,0.584565127557236,+,0.126,0.000958753,0.0357,0.56,33.9,1,0.584,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,C16orf45,Cholinergic and monoaminergic neurons,2.84324967130112,Cholinergic and monoaminergic neurons,2.31248811378339
SERPING1,2.45e-06,serpin family G member 1,+++,++++++,-+++,0.0657581332738888,0.99048253086948,+,0.132,0.0408790671998933,0.0357,0.56,35.4,1,0.983,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,SERPING1,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
FADS2,1.94e-08,fatty acid desaturase 2,---,------,----,0.999025524113559,0.0701232460094542,-,0.14,0.085617322,0.0357,0.56,37.7,1,0.768,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,FADS2,Satellite glia,4.9914512447236,Satellite glia,5.30636788248189
BTN2A1,6.69e-12,butyrophilin subfamily 2 member A1,+--,----+-,+--+,0.886659630800393,0.0734901419642583,-,0.147,0.008905346,0.0357,0.56,39.5,1,0.42,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,BTN2A1,Not_Available,Not_Available,Not_Available,Not_Available
AREL1,3.04e-08,apoptosis resistant E3 ubiquitin protein ligase 1,+-+,----+-,+-+-,0.850199502804042,0.080001622077521,-,0.16,0.023507959,0.0357,0.56,43,1,0.305,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,AREL1,Telencephalon projecting inhibitory neurons,3.74135869975321,Sympathetic noradrenergic neurons,3.69940043835784
PCDH9,3.53e-10,protocadherin 9,--+,-----+,++++,0.0808310496836654,0.221200848929565,+,0.162,0.03246236,0.0357,0.56,43.5,1,0.94,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,PCDH9,Oligodendrocytes,3.70140632202485,Oligodendrocytes,3.84835815637682
RTN1,1.71e-08,reticulon 1,+-+,-+++-+,-+-+,0.0821348352293174,0.67252510575061,+,0.164,0.006195693,0.0357,0.56,44.2,1,0.963,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,RTN1,Cholinergic and monoaminergic neurons,3.3682122135607,Sympathetic noradrenergic neurons,4.27437476304621
ZDHHC5,3.47e-08,zinc finger DHHC-type containing 5,+--,--+-++,----,0.963321868194163,0.0826300440693017,-,0.165,0.064776592,0.0357,0.56,44.5,1,0.262,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,ZDHHC5,Cholinergic and monoaminergic neurons,2.98579648907917,Sympathetic cholinergic neurons,3.2110028692152
EPHB2,1.04e-06,EPH receptor B2,+--,--+---,----,0.922487389352841,0.0829952389210449,-,0.166,0.039052528,0.0357,0.56,44.7,1,0.805,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,EPHB2,Enteric glia,3.34772225734091,Enteric glia,3.17103218033794
NICN1,5.99e-07,nicolin 1,---,+++++-,----,0.802636064368146,0.0852585742229536,-,0.171,0.0357052524068127,0.0357,0.56,45.9,1,0.231,fusiform gyrus bank of cos,fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,NICN1,Cholinergic and monoaminergic neurons,3.71992601052375,Sympathetic noradrenergic neurons,2.48723259765726
SPRY2,8.26e-07,sprouty RTK signaling antagonist 2,---,-----+,+---,0.994013788493651,0.0868537978954432,-,0.174,0.144883224321178,0.0357,0.56,46.7,1,0.938,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,SPRY2,Enteric glia,4.11970794127568,Enteric neurons,3.47774007250763
MARCH10,2.76e-07,membrane associated ring-CH-type finger 10,---,++-++-,Not_Available,0.378929722955216,0.087332421526824,-,0.175,0.017448756,0.0357,0.56,47,1,0.2,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,MARCH10,Ependymal cells,5.53509742832154,Ependymal cells,5.90134026945877
ASCC3,8.91e-08,activating signal cointegrator 1 complex subunit 3,--+,------,++++,0.402539618404834,0.0876044318996296,-,0.175,0.0385018431059904,0.0357,0.56,47.1,1,0.774,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,ASCC3,Cholinergic and monoaminergic neurons,2.90406630195862,Enteric neurons,2.8330673764006
RABEPK,1.56e-06,Rab9 effector protein with kelch motifs,++-,++++++,--++,0.0939511639565318,0.667386152791209,+,0.188,0.0318732423647463,0.0357,0.56,50.5,1,0.136,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,RABEPK,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
SLC4A9,2.66e-06,solute carrier family 4 member 9,-+-,---+++,Filtered_Out,0.861315619556428,0.0966892470412111,-,0.193,0.020928616,0.0357,0.56,52,1,0.393,principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,SLC4A9,Hindbrain neurons,4.39906864973554,Hindbrain neurons,4.77984052043041
CDH9,9.7e-07,cadherin 9,+-+,+++-+-,-+++,0.101084397165799,0.794397250385848,+,0.202,0.028128689,0.0357,0.56,54.4,1,0.0139,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,CDH9,Dentate gyrus granule neurons,4.0007858698079,Dentate gyrus granule neurons,3.53243921491756
CDH22,1.88e-07,cadherin 22,++-,++++-+,--++,0.101096393174612,0.771305520041054,+,0.202,0.012128409,0.0357,0.56,54.4,1,0.324,IV,IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,CDH22,Cholinergic and monoaminergic neurons,4.41250955554672,Cholinergic and monoaminergic neurons,4.79293229388837
USP3,2.49e-06,ubiquitin specific peptidase 3,---,------,+-+-,0.751520311055653,0.106213207050032,-,0.212,0.012310163,0.0357,0.56,57.1,1,0.564,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,USP3,Hindbrain neurons,2.61965211656607,Enteric neurons,3.21797612618307
RFWD2,7e-09,COP1 E3 ubiquitin ligase,+--,+++-+-,+---,0.754995808838168,0.106598235899455,-,0.213,0.0189633582008738,0.0357,0.56,57.3,1,0.202,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,COP1,Hindbrain neurons,2.96357533863596,Peripheral sensory neurofilament neurons,2.97425684266462
HIST1H3J,1.09e-14,histone cluster 1 H3 family member j,-+-,Not_Available,Filtered_Out,0.641683778234086,0.107346566278804,-,0.215,0.0676485204982603,0.0357,0.56,57.8,1,0.0751,VI,VI <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VI <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,HIST1H3J,Non-glutamatergic neuroblasts,4.30801622374329,Non-glutamatergic neuroblasts,4.7069109016322
TCF4,4.55e-16,transcription factor 4,-++,--+---,+-++,0.112478622265213,0.244470558134903,+,0.225,0.002236053,0.0357,0.56,60.5,1,0.968,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,TCF4,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
HS6ST3,1.66e-08,heparan sulfate 6-O-sulfotransferase 3,+-+,+++---,---+,0.235041236696105,0.114418106625303,-,0.229,0.000472472,0.0357,0.56,61.6,1,0.72,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,HS6ST3,Spinal cord inhibitory neurons,3.97261952437629,Spinal cord inhibitory neurons,3.85813019687383
